Number,Company Name,Email,Company Website
1,1st Electric,info@1stelectric.com,https://www.1stelectric.ca
2,2M Solar,service@2msolar.com,https://www.2msolar.ca
3,3B Energy,info@3benergy.com,https://www.3benergy.ca
4,3D Electrical,contact@3delectrical.com,https://3delectricalltd.ca
5,3G Energy,info@3genergy.com,https://www.3g-energy.com
6,5 Star Electric,C6inquiries@fivestarelectric.ca,https://fivestarelectric.ca
7,604-Go-Solar,johndoe@604gosolar.com,https://www.604gosolar.com
8,741 Rele,rele@linknowlocal.biz,http://adinaelectric.com
9,A Clark Roofing & Siding,admin@aclark.ca,http://www.aclark.ca
10,A Plus Electric,admin@apluselectric.ca,https://www.apluselectricbc.com
11,A-Star Electric,info@astarelectric.com,https://www.astarcalgary.ca
12,A.G. Electric,info@agelectricltd.ca,https://agelectricltd.ca
13,AB Solar,info@absolar.com,https://www.absolargroup.com
14,Abbotsford Solar,info@abbotsfordsolar.com,https://www.fraservalleysolar.com
15,Able Electric,master@example.com,https://www.ableelectricco.ca
16,Above It All Roofing,info@aboveitallroofing.ca,https://aboveitallroofing.ca
17,Abundant,service@abundant.com,http://www.abundant.solar
18,AC Tech. Electric,info@actechelectric.com,http://actechelectric.com
19,ACDC,contact@acdc.com,https://anvilcrawler.com
20,ACES,contact@aces.com,https://arntjencleanenergy.com
21,Action Electrical,info@actionelectrical.com,https://www.actionelectrical.net
22,Active Electric,admin@activeelectric.com,https://activeelectric.com
23,Actlap Power,info@actlappower.com,https://actlappower.com
24,Adanac Electric,info@adanacelectric.com,https://www.adanacelectric.com
25,Aecon,service@aecon.com,https://www.aecon.com
26,AES Solar,service@aessolar.com,https://aessolar.ca
27,Affordable Solar Energy,info@affordablesolarenergy.com,https://www.affordablesolarenergy.ca
28,AGD Solar,info@agdsolar.com,https://agdarrach.com
29,AGT Electrical Systems,info@agtelectricalsystems.com,https://agtelectricltd.com
30,AIM Industrial,info@aimindustrial.com,https://www.aimindustrial.ca
31,AKA Energy Systems,info@akaenergysystems.com,https://www.aka-group.com
32,Alba Electrical Services,service@albaelectricalservices.com,https://www.albaelectricalservices.com
33,Alectra Energy Solutions,contact@alectraenergysolutions.com,https://www.alectrasolutions.com
34,Alectric Renewables,service@alectricrenewables.com,https://alectricrenewables.com
35,Alectrix Utility Contractors,info@alectrixutilitycontractors.com,https://alectrixutility.ca
36,All Red Electric,info@allredelectric.com,https://allredelectric.ca
37,All-Stat Electric,allstat@sasktel.net,https://allstatelectric.ca
38,Alliance,info@alliance.com,https://automationelectrician.ca
39,Alltrade,contact@alltrade.com,https://www.alltradeindustrial.com
40,Alpha Solar Corp,contact@alphasolarcorp.com,https://www.alphasolarcorp.net
41,AltaPro,Info@altapro.com,https://www.altapro.ca
42,Alternative Solair,service@alternativesolair.com,https://vie-alternative.com
43,Alto Solar,info@altosolar.com,https://www.altosolar.ca
44,Am/Pm Electric,alexampminc@gmail.com,https://ampmelectric.ca
45,AMB Electric,info@ambelectric.com,https://ambelectric.ca
46,Amor Energy,info@amorenergy.ca,https://amorenergy.ca
47,AMP Energy,contact@ampenergy.com,https://www.amp.energy
48,Amray Solar,info@amraysolar.com,https://amray.solar
49,Anchor Roofing,info@anchorroofing.com,http://www.anchorroofing.ca
50,ANJ Engineering,info@anjengineering.com,http://www.anjengineering.com
51,Anser Power Systems,info@anserpowersystems.com,https://www.anserservice.ca
52,Anything Electric,info@anythingelectric.ca,https://www.anythingelectric.ca
53,API,Contact@api.com,https://altpowerinternational.com
54,Apollo Renewables,info@apollorenewables.com,https://www.apollorenewables.ca
55,Apollo Solar,info@apollosolar.com,https://www.apollosolar.pro
56,Appleseed Energy,info@appleseedenergy.com,https://www.appleseedenergy.com
57,Arborus Consulting,info@arborusconsulting.com,https://arborus.ca
58,Arcadian Projects,SERVICE@arcadianprojects.com,https://www.arcadianprojects.ca
59,Argon Electrical & Solar Services,info@argonelectricalsolarservices.com,https://www.argonelectrical.ca
60,Ark Renewable Energy,contact@arkrenewableenergy.com,https://www.arkrenewable.ca
61,ARK3DS Handymen,ark3ds.handyman@gmail.com,https://www.ark3ds.ca/gallery.html
62,Arrow Arc,info@arrowarc.com,https://www.arrowarcwelding.com
63,Ascent Electrical & Solar,contact@ascentelectricalsolar.com,https://www.ascentelectric.ca
64,Aspen Electric,info@aspenelectric.com,https://www.aspenelectricltd.com
65,Astra Solar,service@astrasolar.com,https://www.astrasolar.ca
66,Astral Power Solutions,CONTACT@astralpowersolutions.com,https://astralpowersolutions.ca
67,Atco,info@atco.com,https://www.atco.com
68,ATE,info@ate.com,https://alltype.ca
69,AtkinsRéalis,Info@atkinsréalis.com,https://www.atkinsrealis.com
70,ATT Electric,service@attelectric.com,https://www.attelectric.ca
71,Avon Electric,contact@avonelectric.com,https://avonelectric.org
72,Axis Electric,info@axiselectric.com,https://axiselectricltd.ca
73,Azgard Solar,SERVICE@azgardsolar.com,https://azgard.com
74,Aztek Solar,info@azteksolar.com,https://www.azteksolar.ca
75,B&R Electric,info@brelectric.com,https://brelectric.ca
76,Badger Electrical,contact@badgerelectrical.com,https://www.badgerem.com
77,Barnes Electric,info@barneselectric.com,https://www.barneselectric.ca
78,Battery Boss,info@batteryboss.com,https://www.batteryboss.ca
79,BCD Electric,service@bcdelectric.com,https://bcdelectrical.com
80,Belltech Systems,service@belltechsystems.com,https://www.belltech.ca
81,Besolar,info@besolar.com,https://besolar.ca
82,Bespoke Electrical,service@bespokeelectrical.com,https://bespokeelectrical.ca
83,Best Electrican Toronto,contact@bestelectricantoronto.com,https://www.bestelectriciantoronto.ca
84,Betts Electric,info@bettselectric.com,https://www.bettselectric.com
85,BFG,contact@bfg.com,https://bfg.ca
86,Big Tree Electrical,info@bigtreeelectrical.com,https://www.bigtreeelectrical.com
87,BJ Kane Electric,service@bjkaneelectric.com,https://www.bjkaneelectric.ca
88,Black & McDonald,contact@blackmcdonald.com,https://blackandmcdonald.com
89,Blackline Power,contact@blacklinepower.com,https://blacklinepower.com
90,Blais Electric,info@blaiselectric.com,https://www.blaiselectric.ca
91,Blake Solar,info@blakesolar.com,https://blake.solar
92,BLDG Electric,contact@bldgelectric.com,https://www.bldgelectric.com
93,Blu Dot Systems,info@bludotsystems.com,https://www.bludotsystems.com
94,Blue Chip Electrical,info@bluechipelectrical.com,https://bluechipelectrical.com
95,Blue Green Solar,info@bluegreensolar.com,https://bluegreensolar.ca
96,Blue Sky Solar,info@blueskysolar.com,https://www.blueskysolar.ca
97,BluEarth Renewables,info@bluearthrenewables.com,https://bluearthrenewables.com
98,Bluewater Energy,Contact@bluewaterenergy.com,https://bluewaterenergy.ca
99,BNR Electric,contact@bnrelectric.com,https://www.bnr-electric.com
100,Boralex,info@boralex.com,https://www.boralex.com
101,Borea Construction,service@boreaconstruction.com,https://boreaconstruction.com
102,Boss Solar,contact@bosssolar.com,https://www.bosssolar.com
103,Bourne Electric,rmation@Bourne-Electric.com,https://www.bourne-electric.com
104,Brant Renewable Energy,info@brantrenewableenergy.com,https://brantrenewable.ca
105,Braun Solar Services,info@braunsolar.com,https://www.braunsolar.com
106,BrighterFuture Solar,Info@BrighterFutureSolar.ca,http://brighterfuturesolar.ca
107,Brightworks Energy,info@brightworksenergy.com,https://brightworksenergy.com
108,Browning Electric,dylan@browning-electric.ca,https://browning-electric.ca
109,Btek R.E. Products,info@btekenergy.com,https://www.btekenergy.com
110,Bur Oak,sales@bur-oak-resources.ca,https://bur-oak-resources.ca
111,Burwash Electric,Info@burwashelectric.com,https://burwashelectric.com
112,BVGEC,A0connect@bvgreenenergy.org,https://www.bvgreenenergy.org
113,C L Plumbing & Heating,contact@clplumbingheating.com,https://www.clplumbing.ca
114,C.K. Electric,info@ckelectric.com,https://ckelectric.ca
115,Camarta Energy,contact@camartaenergy.com,https://www.camartaenergy.ca
116,Camo Electric,service@camoelectric.com,https://www.camoelectric.ca
117,Can-Nor Electric,info@can-nor.ca,https://www.can-nor.ca
118,CanNam Electric,service@cannamelectric.com,https://cannamelectric.com
119,Capitol Electric,info@capitolelectric.com,http://capitolelectric.ca
120,Cariboo Sterling Electric,Service@cariboosterlingelectric.com,https://www.cariboosterlingelectric.ca
121,CBI Solar,sales@cbisolar.com,https://cbisolar.com
122,CBS Electrical,wes@cbselectric.ca,https://www.cbselectric.ca
123,CDN Controls,info@cdncontrols.com,https://www.cdncontrols.ca
124,CDN Power Pac,info@cdnpowerpac.com,https://www.cdnpowerpac.com
125,CE Fisher Electric,brendacefisher@ns.aliantzinc.ca,https://cefisherelectric.com
126,Centre Star Solar,Contact@centrestarsolar.com,https://centrestarsolar.com
127,CES,info@ces.com,https://clearenergysolutions.ca
128,CEV Canada,contact@cevcanada.com,https://cevcanada.ca
129,CGS,service@cgs.com,https://www.centennialglobal.ca
130,Channel Custom Builders,info@channelcustombuilders.com,https://www.channelcustombuilders.com
131,Charged Electric & Solar,info@charged-electric.ca,https://charged-electric.ca
132,Citadel Electrical Systems,info@citadelelectricalsystems.com,https://www.citadelelectrical.ca
133,ClayMar Electric,info@ClayMarElectric.ca,https://claymarelectric.ca
134,Clean Earth Solar Solutions,INFO@cleanearthsolarsolutions.com,https://cleanearthsolarsolutions.yolasite.com
135,Clear Power Solutions,service@clearpowersolutions.com,https://clearpowersolutions.com
136,CM SunEra,info@cmsunera.com,http://cmsunera.com/
137,CMi Electric,contact@cmielectric.com,https://cmielectric.ca
138,CMI Solar,info@cmisolar.ca,https://www.cmisolar.ca
139,Coast Solar Solutions,Service@coastsolarsolutions.com,https://www.coastsolarsolutions.ca
140,Cogent Green Solutions,info@cogentgreen.com,https://www.cogentgreen.com
141,Collide Energy,info@collideenergy.com,https://collideenergy.ca
142,Collins Electric,info@collinselectric.com,https://www.collinselectric.ca
143,Colz Electric,info@colzelectric.com,https://colzelectric.com
144,Concord Solar,service@concordsolar.com,http://concordsolar.ca/
145,Condor Electric,info@condorelectric.com,https://www.condorelectric.ca
146,Consumer Roofing and Renovations,ryszard.crs@gmail.com,https://www.consumerroofingandrenovations.com
147,Consumers Energy,info@consumersenergy.ca,https://consumersenergy.ca
148,Cooper Electrical Contracting,office@cooperelectric.ca,https://www.cooperelectric.ca
149,Copper Mountain Electric,info@coppermountainelectric.com,https://www.copper-mountain.ca
150,Coquitlam Solar,info@www.coquitlamsolarenergy.ca,https://www.coquitlamsolarenergy.ca
151,Core Renewable Energy,info@corerenewableenergy.com,https://corenergy.ca
152,Cosmic,info@cosmiccleanenergy.com,https://cosmiccleanenergy.com
153,Couture Auto Électrique,info@coutureautoelectrique.ca,https://www.coutureautoelectrique.ca
154,Crestview Solar,info@crestviewsolar.com,https://cvesolar.com
155,Crown Roofing,contact@crownroofing.com,https://www.crownroofingltd.com
156,CSI Solar,service@csisolar.com,https://www.csisolar.com
157,Custom Electric,info@customelectric.com,https://customelectric.com
158,CV Electrical,info@cvelectrical.com,https://cvelectrical.ca
159,CWS,service@cws.com,https://www.waterproofingsystems.ca
160,D-Com Energy Solutions,info@dcomenergysolutions.com,https://d-com.ca
161,D&D Electric,service@ddelectric.com,http://www.ddelectric.ca
162,D16,info@d16.com,https://www.d16.ca
163,Dafoe Electrical,rob@dafoeelectric.com,https://dafoeelectricalinc.com
164,Dandelion Renewables,operations@dandelionrenewables.com,https://www.dandelionrenewables.com
165,Danik Electric,info@danikelectric.com,https://danikelectrical.ca
166,Darryl Goossen Electrical,darryl.goossen@gmail.com,https://dgelectricalsk.ca
167,DBMS Energy Solutions,Denis@DBMSsolar.net,https://dbmssolar.net
168,DBS Air,info@dbsair.com,https://dbsair.com
169,DDC Technical Services,info@ddctechnicalservices.com,https://www.ddctechnicalservices.ca
170,Delta Energy,info@deltaenergy.com,https://www.deltaenergysolutions.ca
171,Deltacron,info@deltacron.com,https://www.deltacron.com
172,Deltro,info@deltro.ca,https://deltro.ca
173,DERA,info@deraenergy.com,https://deraenergy.netlify.app
174,DES Engineering,info@desengineering.com,https://deseng.ca
175,DGES,info@dependablegreenenergy.ca,http://dependablegreenenergy.ca
176,Diamond Renewable Energy,info@diamondrenewable.com,https://diamondrenewable.com
177,DLR Electric,rob@dlrelectric.com,https://www.dlrelectric.com
178,Doctor Solar,service@doctorsolar.com,https://www.doctorsolar.ca
179,Domolynx,info@domolynx.com,https://domolynx.com
180,Double L Electric,info@doublelelectric.com,https://www.doublelelectric.ca
181,Downunder Solar,sales@downundersolar.ca,https://www.downundersolar.ca
182,Drycore,info@drycore.com,https://www.drycore.com
183,DS Electric,Contact@dselectric.com,http://www.dselectricwindsor.com
184,Dubrule Electrical,info@dubruleelectric.com,https://www.dubruleelectric.com
185,Duffy's Electric & Geothermal,Info@duffyselectricgeothermal.com,https://www.duffyselectric.ca/index.html
186,Dunn's Electric,info@dunnselectric.com,https://www.dunnselectric.ca
187,Durham Electric,info@durhamelectric.com,https://www.durham-electric.ca
188,E-2 Solutions,info@e-2solutions.com,https://www.e-2solutions.com
189,E3 Solar,info@e3solar.com,https://e3solar.ca
190,EazySolar,info@eazysolar.com,http://www.easysolar.ca
191,Eco Alternative Energy,info@ecoalternativeenergy.com,https://www.ecoaltenergy.com
192,Eco Electrical Solutions,info@ecoelectricalsolutions.com,https://www.ecoelectricalsolutions.ca
193,Eco Exteriors,info@ecoexteriors.com,https://ecoexteriors.com
194,Eco-Smart Energy Solutions,CONTACT@ecosmartenergysolutions.com,https://www.eco-ses.com
195,Ecohive,info@ecohive.ca,https://ecohive.ca
196,EcoHome,contact@ecohome.com,https://ecoheat.ca
197,EcoLogic Energy Solutions,info@ecologicenergysolutions.com,https://www.ecologicenergy.ca
198,ÉcoSolaris,jason@ecosolaris.ca,https://ecosolaris.com
199,ECS Integrated,info@ecsintegrated.com,https://www.ecsintegrated.com
200,EEI,info@eei.com,https://effisolar.ca
201,Efficient Electrical Services (EES),graham@efficientelectricalservices.ca,https://efficientelectricalservices.ca
202,EG Energy,info@egenergy.com,http://egenergy.ca
203,Egenolf Alternative Energy,info@egenolfalternativeenergy.com,http://www.bvsolar.ca
204,Electric MD,info@electricmd.com,https://electricmd.ca
205,Electrical Elite,info@electricalelite.ca,https://electricalelite.ca
206,Electrical Power Solutions,info@electricalpowersolutions.com,https://www.electricalpowersolutions.ca
207,ELECTRICca,info@electricca.com,https://www.electriccainc.com
208,ElectricMan,info@electricman.ca,https://electricman.ca
209,EllisDon,service@ellisdon.com,https://www.ellisdon.com
210,EM-One Energy,info@emoneenergy.com,https://www.emone.energy
211,Empower Energy,sales@empowerenergy.ca,https://empowerenergysolar.ca
212,Empyreal Solar,INFO@empyrealsolar.com,https://www.rvwalkthru.com/empyreal/
213,Energy Economics Solar,UsILoveSolar@energyeconomics.ca,https://energyeconomicssolar.ca
214,Energy Electric,info@energyelectric.com,https://www.energyelectric.ca
215,Energy Smart,Service@energysmart.com,https://energysmartcanada.com
216,EnergyPal,info@energypal.com,https://energypal.com
217,EnerTech,contact@enertech.com,http://www.enertech.co
